Name,Team,Pos,Wk,Opp,Year,Status,TeamScore,OppScore,PassYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgs,ReceivingYds,ReceivingTD,FL
Farrod Green,IND,TE,2,MIN,2020,0,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Neiko Thorpe,SEA,CB,2,NE,2020,O,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Ott,SEA,LS,2,NE,2020,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Javin White,LV,LB,2,NO,2020,0,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Carlson,CLE,TE,2,CIN,2020,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Powell,ATL,WR,2,DAL,2020,0,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Turner,DAL,WR,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Ellis,BAL,DT,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Dylan Cole,HOU,OLB,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Eguavoen,MIA,OLB,2,BUF,2020,0,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Matakevich,BUF,ILB,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Hollister,SEA,TE,2,NE,2020,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Burr-Kirven,SEA,OLB,2,NE,2020,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Slater,NE,WR,2,SEA,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquez Callaway,NO,WR,2,LV,2020,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Scott,LAR,FS,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Reeder,LAR,ILB,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameer Abdullah,MIN,RB,2,IND,2020,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Adams,IND,OLB,2,MIN,2020,IR,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Boone,MIN,RB,2,IND,2020,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Muhlbach,DET,LS,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Akeem Davis-Gaither,CIN,LB,2,CLE,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Tae Davis,CLE,ILB,2,CIN,2020,O,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Bennie Fowler,NO,WR,2,LV,2020,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaquan Johnson,BUF,SS,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Durham Smythe,MIA,TE,2,BUF,2020,0,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Deon Lacey,BUF,LB,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Reid Ferguson,BUF,LS,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Casey Kreiter,NYG,LS,2,CHI,2020,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Kindle Vildor,CHI,CB,2,NYG,2020,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Dante Pettis,SF,WR,2,NYJ,2020,0,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Jace Sternberger,GB,TE,2,DET,2020,0,42,21,0,0,0,0,0,0,0,0,0,1,0,0,0
Sharrod Neasman,ATL,FS,2,DAL,2020,0,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Kroft,BUF,TE,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Bethel,NE,CB,2,SEA,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Anfernee Jennings,NE,LB,2,SEA,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Asiasi,NE,TE,2,SEA,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Calitro,DEN,OLB,2,PIT,2020,IR,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Jones,DEN,ILB,2,PIT,2020,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray-Ray McCloud III,PIT,WR,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Kameron Canaday,PIT,LS,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Brown,CIN,DE,2,CLE,2020,O,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark Harris,CIN,LS,2,CLE,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Erickson,CIN,WR,2,CLE,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Charley Hughlett,CLE,LS,2,CIN,2020,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
John Ross III,CIN,WR,2,CLE,2020,O,30,35,0,0,0,0,0,0,0,0,0,2,0,0,0
Kyle Nelson,SF,LS,2,NYJ,2020,0,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Anderson,LAC,TE,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Carrier,LV,TE,2,NO,2020,0,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Zack Baun,NO,LB,2,LV,2020,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0
Levante Bellamy,DEN,RB,2,PIT,2020,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordyn Brooks,SEA,LB,2,NE,2020,O,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Facyson,LAC,CB,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron Pringle,KC,WR,2,LAC,2020,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Asmar Bilal,LAC,LB,2,KC,2020,IR,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hurts,PHI,QB,2,LAR,2020,0,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake McQuaide,LAR,LS,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Hollins,LAR,OLB,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Javon Hargrave,PHI,DT,2,LAR,2020,0,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0
David Long Jr.,LAR,CB,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Griffin,NYJ,TE,2,SF,2020,0,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthias Farley,NYJ,FS,2,SF,2020,0,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Bosa,SF,DE,2,NYJ,2020,IR,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheldrick Redwine,CLE,FS,2,CIN,2020,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Bellore,SEA,FB,2,NE,2020,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Joejuan Williams,NE,CB,2,SEA,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Nsimba Webster,LAR,WR,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Singleton,PHI,OLB,2,LAR,2020,0,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Johnson,LV,CB,2,NO,2020,0,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Robertson,NO,OLB,2,LV,2020,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0
James Winchester,KC,LS,2,LAC,2020,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Rick Lovato,PHI,LS,2,LAR,2020,0,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Davion Taylor,PHI,LB,2,LAR,2020,0,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Stocker,ATL,TE,2,DAL,2020,0,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Roberts,BUF,WR,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Damion Ratley,NYG,WR,2,CHI,2020,0,13,17,0,0,0,0,0,0,0,0,0,2,0,0,0
Kaden Elliss,NO,OLB,2,LV,2020,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0
Emeke Egbule,LAC,OLB,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Chisena,MIN,WR,2,IND,2020,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Gaines,LAR,NT,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
